Date,GS,UNH,MSFT,HD,SHW,MCD,CAT,AMGN,AXP,TRV,JPM,IBM,HON,AAPL,AMZN,BA,PG,JNJ,CVX,MMM,NVDA,WMT,DIS,MRK,KO,NKE,CSCO,VZ
1999-05-04,-0.0740131578947369,0.01276595744680851,-0.030279503105590005,-0.033639143730886854,-0.040404071229876826,-0.010606060606060445,0.0038350910834132608,-0.009211873080859806,-0.04327374519688162,-0.014492753623188524,0.0022848439221080413,-0.0011778202527332055,-0.003048779297656618,-0.036269392774346244,-0.06306303885723791,0.002906976744186076,-0.016085790884718384,-0.02376364804110477,-0.016544117647058827,0.0026684462801578918,-0.054413409604419156,-0.06008010558511389,-0.012048205494228597,0.0,-0.004528985507246411,-0.003968253968253941,-0.0397790055248619,-0.03164556055814902
1999-05-05,-0.010733452593917675,-0.008196721311475388,0.0,-0.00633579745866234,0.020876794201787677,-0.004594180704440993,-0.001915708812260403,0.02777777777777775,0.01371209387030501,0.008403361344537792,-0.028030326149680426,-1.3328146667818391e-16,0.014553008742053914,0.0148463137586944,0.018244991328937803,0.023188405797101404,-0.007482993197278829,-0.011826544021025016,-0.002492211838006126,-0.017940155182691472,0.01429042917779592,0.014064676147976058,-0.01028805575873125,0.025528166040118996,0.02638762511373981,-0.002991087589825212,0.026300578034682005,0.018538745398378038
1999-05-06,-0.0009191176470588525,-0.05081300813008126,-0.03408210689388075,-0.025641025641025602,-0.02453987730061357,0.006163328197226571,0.0038387715930901824,-0.01701701701701709,0.016488808093424828,0.04115226337448564,-0.008785991027978527,-0.01238934013238176,0.030334715844916878,-0.04429727726216386,-0.07179053961534063,0.018413597733711158,0.016551724137930945,0.03856382978723407,-0.011370814908401803,0.012362741353566372,-0.012418682067657203,-0.025568181264006323,-0.006237012922489845,0.021459243963009137,-0.019503546099290708,0.003999999999999973,-0.02894438138478994,-0.017582412337222297
1999-05-07,0.09107635694572212,0.00747058538834085,-0.0070643642072213,0.014380462971224322,0.01046028330209266,-0.013867488443759566,-0.03346080305927355,0.03350253807106597,0.013640555788592065,0.04142011834319527,0.010475447894652176,0.02840232671768605,0.052953201303409754,0.02800934165813913,-0.031083481771133473,0.01808066759388049,-0.008855585831062692,-0.014734144778987792,-0.023794212218649514,0.0054126221815864245,0.03703493344418638,0.0028011418190322943,0.0041840833588537634,-0.006666735606551492,-0.019004524886877865,0.005988023952095758,0.00230946882217083,0.02307687890254457
1999-05-10,-0.03662691652470189,0.0,-0.0023474178403755735,-0.01742922714333123,0.006224066193004638,-0.01710730948678082,-0.012000000000000066,0.0029469548133594916,-0.02238809465220616,0.0,0.0007917898001409733,0.006329103694476222,0.014648368569280796,-0.03208584556220913,0.07502284281144228,-0.03688524590163937,-0.00482425913163343,-0.024804177545691995,0.013157894736842222,0.019621064094158994,0.007182694515401004,0.008368200836820182,-0.008333299497953793,-0.018707540345170765,-0.0101476014760149,-0.0009939751141586955,-0.0022831050228309105,-0.027292605376412836
1999-05-11,0.008928571428571492,0.022340490462932197,-0.010835913312693617,-0.009404388714733557,0.030487804878048808,0.04531249999999994,0.023279352226720573,-0.006782945736434214,-0.024797342457827432,0.011363636363636263,-0.002338269736054773,0.0022675766505982227,-0.021174198139081182,-0.0027852791237059464,-0.015346504199932004,-0.014184397163120558,0.01805555555555548,-0.0066889632107024755,0.0019157088122604476,0.00662251847720839,0.010257506625394968,-0.003947368500305234,-0.01050419116759661,-0.011226217146622126,-0.0018639328984156323,0.009633911368015408,0.007882882882882934,0.02993343452323145
1999-05-12,0.03521126760563383,0.008333333333333309,-0.0030959752321982436,-0.0063157896765711945,-0.019801950580920165,-0.0029850746268655654,-0.038575667655786454,-0.02531645569620252,-0.011764673309254285,0.018315018315018226,0.02730106758912589,0.019785196676162558,-0.01775147256533784,0.03621190138180965,-0.03461374463140592,-0.010174418604651035,0.025517241379310295,0.018829858776059038,-0.0344168260038241,-0.011191624149349325,0.020127818869599877,-0.017150435693777364,-0.008492599820050349,0.0008741489432604067,-0.006542056074766343,-0.011538461538461569,0.010638297872340444,-0.0309168715787936
1999-05-13,-0.0008532423208191699,-0.014462809917355374,-0.02465331278890602,-0.0052742294118375225,-0.02024297613096117,-0.016541353383458673,-0.0020576131687243724,0.005899705014749284,-0.009920624420533318,0.03411131059245965,0.018181818181818164,0.05128204953312579,-0.008999996542895081,-0.005385638049356393,-0.05800863158651245,0.005873715124816463,-0.01008742434431743,0.0059405940594059676,0.003986710963455071,-0.03386450320997538,0.0,-0.007915567122978919,0.004273486759600969,-0.0034129502835957117,-0.009416195856873873,-0.02890173410404629,-0.009989484752891643,0.029702999866205445
1999-05-14,-0.014912280701754316,-0.019271948608137125,-0.025356576862123528,0.014176696783224127,-0.014433052159478875,0.0031055900621116557,0.00618556701030926,-0.02982107355864806,-0.012244863544061133,-0.039007092198581644,-0.029907976160060655,-0.009316814930379027,-0.013265300922953078,-0.016621905463273183,-0.005633788489399941,0.004379562043795678,0.01721763085399447,-0.008010680907877132,-0.0006613756613757134,-0.003448326899940283,-0.05262359416952511,0.002702661407003308,0.0,-0.013840862998596524,-0.0076045627376427095,0.013211444141418805,0.0032590983161325444,-0.01754385442690759
1999-05-17,-0.00723327305605793,-0.012021923826662525,0.02261712439418422,0.00971922278251315,-0.014736810454898564,-0.00625978090766828,0.0020491803278687676,-0.02072538860103624,0.013541673703278558,-0.005535055350553526,-0.004746835328431989,0.006355940370578756,0.005197503122161971,0.014284820556640713,0.058653831481933594,-0.011627906976744198,0.016880486158001373,-0.004070556309362178,0.015221707478490951,-0.011764658336301267,0.06338725479084975,0.0068870733592135535,-0.012765971170891474,0.012313091302075552,0.028735632183908014,0.0030121094730483143,0.014153511159499059,0.04231624555939447
