Date,MSFT,AAPL,COST,PEP,AMD,ADBE,TXN,AMGN,HON,ADP,CMCSA,AMAT,ADI,MU,LRCX,KLAC,CTAS,INTC,CDNS,ADSK,MNST,CSX,PAYX,AEP,PCAR,FAST,ROST,EXC,CCEP,XEL,BKR,EA
1990-01-02,0.017190822248800506,0.05673721123116159,-1.1404187519280493e-16,0.003906190278941731,0.047619047619047616,0.0,0.04844289634353027,0.04568526503346549,0.010714396361899881,0.025706915189961665,0.037313740193443135,0.03539824920829806,-0.025316074287525383,0.03896106469689566,0.04651554171281019,0.02857142857142855,-0.005587048106403269,0.043478260869565216,0.03529418773717672,0.03205128205128216,0.0,0.04513895511627194,0.0,0.0037878787878788053,0.017751554344085894,0.024994044329263613,-0.008773592955533788,0.005405446034580076,0.0,0.022082018927444873,0.009756097560975693,-0.041096692148126376
1990-01-03,-0.0027931884026004988,-0.013160029439901457,0.010695187165775354,-0.013565861901571543,-0.015384615384615385,0.03658536585365848,-0.032679738562091616,0.01442308115536075,0.003533567305860767,-0.00501250715724576,0.0071937212953539316,-0.02563940880377811,-0.03947369213579917,0.03797464687039999,-0.022224009037017843,-0.05555555555555557,-1.2782040941965113e-16,-0.027777777777777745,0.02840917791463221,0.02484472049689438,0.0,-0.009868830442233455,0.025640666087327256,0.0,0.0,0.0,0.026786259242466488,-0.010638263976966673,0.0,0.0031055900621118023,-0.009708737864077577,0.042858014787946444
1990-01-04,0.029411493170477292,-0.01633883950555013,0.010582010582010689,-0.0059171597633135035,-0.015625,0.0348837209302326,-0.03703723493125541,0.011764847804910545,0.024475628181226682,-0.005037952816978155,-0.021428188693667617,0.00446401323590964,0.0,-0.024096362008327796,-0.09090833722914742,0.014705882352941128,-1.2782040941965113e-16,0.014184391023074477,-0.022099456421486502,-0.03012048192771075,0.0,-0.0033442408211641294,0.0,-0.015151515151515185,-0.01162798335224115,0.01612795255412514,-0.008695050476047423,-0.01612903782331485,0.0079365684872582,-0.018691588785046707,-0.014851485148514846,-0.04285627092633924
1990-01-05,-0.020492043170844815,0.0,0.005235602094240838,-0.007984001479462977,0.0,0.03409090909090913,-0.007042253521126784,0.013953484410915871,0.017123280162734747,0.0,-0.02189797438975479,-0.00892802647181906,0.0,-0.024691392183120563,0.0,-0.05797101449275373,-1.2782040941965113e-16,-0.006993430827350449,-0.005649792580698784,-0.00617283950617282,0.0,-0.020270999893639476,0.0,-0.015503875968992104,-0.029411917563953234,-0.007940072257557851,0.008771317524665817,0.0,0.015872955322265556,-0.003194888178913852,-0.005025125628140608,0.04477516764155826
1990-01-08,0.01675865091474365,0.013335525346051931,-0.007894736842105286,0.020161352470193378,0.0,0.022222222222222303,0.014184397163120498,-0.0022934373506494476,0.006779767319245005,0.00769227126097362,0.007462722417586598,-0.009092632323195704,0.0,-0.012658215623466603,0.0,0.04615384615384628,-1.2782040941965113e-16,0.006992577189165795,0.022727283810781172,0.0031446540880503467,0.0,0.010345266843600286,-0.012500440140206315,0.003968253968253966,0.01840462668125718,-0.007995381824098806,-0.017392356597976513,0.005464521757610937,0.00781256007030965,-0.003225806451612833,0.01522842639593894,0.0
1990-01-09,-0.002747055557300586,-0.009867760242412725,-0.00531914893617016,-0.009920665196010007,0.01639344262295082,-0.01098901098901104,0.003436215653311912,-0.022936053372709455,-0.020202011492642464,-0.017811621121011242,-0.04444427490234384,-0.018347514215879768,0.0,0.0,0.05000407025624386,0.0,-1.2782040941965113e-16,0.013698630136986344,-0.011111164093017578,-0.006249999999999861,0.0,-0.006825561446984809,0.006288873600496659,-0.003952569169960443,-0.006024180484423009,-0.008068129366204218,-0.061945248194465695,-0.016216222466858474,0.007751997127089391,-0.019354838709677455,0.0,-0.028571428571428477
1990-01-10,-0.01944484710693361,-0.043189493736320986,-0.02139037433155079,-0.020161260179127866,0.0,-0.022471910112359595,-0.0034480653960129544,0.019047328404017898,-0.0034602060794181287,-0.005208508178678575,-0.031007960828211407,0.009345218639783874,0.014084289102841423,0.0,0.02380274836226065,-0.029411764705882394,-1.2782040941965113e-16,-0.020408569996707312,-0.022471922031784167,0.006329113924050693,0.0,-0.00347197055816649,0.0,0.011999999999999993,-0.01807201793773618,-0.016392328255049063,-0.009614797738882217,0.0,-0.015384731857022207,0.006557377049180395,0.015075376884422037,0.0
1990-01-11,-0.025352130928499132,-0.04827581952220112,-0.04864864864864863,-0.008230421278211783,0.01639344262295082,0.05747126436781622,-0.01712307864672517,-0.016431781607614444,-0.006944552503666756,0.013088943265396887,-0.02362222657908702,-0.018517317595305314,0.0,-0.012820561413384444,0.0,0.0,0.005618438593105738,0.0,-0.08045976444505919,-0.006369426751592264,0.0,0.0,0.0,0.0,-0.0060606034005637206,0.00832852948433708,-0.009523233772341088,-0.07567560848127147,0.0,-0.003236245954692518,0.009803921568627524,0.02941176470588232
1990-01-12,0.011746676475309472,0.007298744381683063,-0.04046242774566464,-0.008438786373862726,0.0,0.011235955056179829,-0.010526527693572043,0.012285160406215077,0.0035714273465472578,0.02094240995918117,-0.03305814083974739,0.009614797738882241,-0.02816922294311031,0.0,0.0,-0.030303030303030304,-0.016760377117835464,0.0,-0.012499953061339442,-0.012903225806451651,0.0,-0.014035219384514873,-0.012500440140206315,-0.015748031496063013,1.3947338424202796e-16,-0.041323974268372206,-0.05825357781355609,-0.005813934687217033,-0.04687500279396781,-0.02614379084967323,-0.004975124378109467,-0.08571428571428572
1990-01-15,0.00437291184901164,-0.00724585871112479,-0.01796407185628737,-0.014957232353014877,-0.01694915254237288,0.0,-0.0035589352951461858,0.009756398198241652,0.00358411301377569,-0.010335769576184473,-0.03418834392841039,0.0,0.0,-0.06493506654355598,0.0,0.0,0.0,0.007091762638275945,-0.00632908985680073,-0.006493506493506615,0.0,-0.007116986181985967,0.0,0.004016064257028118,-0.012500082603652696,0.0,-0.010640312285296738,0.0,0.02459016547219745,0.003378378378378458,-0.02000000000000008,0.0
