Date,MSFT,AAPL,COST,PEP,AMD,ADBE,TXN,AMGN,HON,ADP,CMCSA,AMAT,ADI,MU,LRCX,KLAC,CTAS,INTC,CDNS,ADSK,MNST,CSX,PAYX,AEP,PCAR,FAST,ROST,EXC,CCEP,XEL,BKR,EA
1990-01,0.06325107977085571,-0.07336337163009372,-0.14311731127089872,-0.07218743123185307,0.10109029003783102,0.25243952813383724,-0.027156641306198215,0.008131075321115106,0.038944491164358636,0.01567544336090244,-0.13331897810628246,0.02874382920688515,-0.1854650301734107,-0.15979205175045674,0.022729141687279655,-0.15714285714285733,-0.061452638261676004,0.13040457746520018,-0.09999992931589807,0.06879218569504598,-0.06249700481875491,-0.006262449925501392,-0.0451775091910674,-0.018820894072183004,-0.0881816345053816,-0.02887118302345898,-0.10186220452245284,-0.1259230953211338,-0.06558849864770369,-0.048736603302270434,0.011168460996443771,-0.059130400969444157
1990-02,0.07590628444216344,0.10555912584883662,-0.031215722416892168,0.08803914234968464,0.16575795746360375,0.3165000759547811,0.14838358608785085,0.27156691561293345,0.09455790041120594,0.0769390218206155,-0.0021528465345354284,-0.06461511258327052,0.03381642717380454,0.6863465725896376,0.23568410294330483,-0.016949152542372715,0.03560195162873979,0.10327439748994557,0.19529624326195041,0.12568628064922596,-0.21737680998071304,0.07566185285274504,-0.04144159165414177,0.04691447118969094,0.14577417355590103,0.18873254718835122,-0.09142095653741703,-0.02926359129008137,0.03336550785592355,-0.010182433431334117,0.17456740666047596,0.1818181818181819
1990-03,0.11518710500195518,0.14950752879412005,0.015847513217966933,0.08854188501042937,0.05022376251769819,0.13069970694820232,0.008318774769047165,0.08825555596114064,0.07927277252800158,0.05205519643111133,0.0624683929556591,0.16087827675021457,0.06373601402359572,0.12762928525074177,0.11861533845443659,0.18941238564391225,-0.0584157929570685,0.07939505068154147,0.08017633297575812,-0.007298597052475538,-0.05555200576782225,-0.0003098826910461957,-0.041948744567591484,0.0333656324354504,0.08010379066909676,0.1587559063221316,0.1677018523069655,-0.06197894888127951,0.11401177608375322,-0.0031925965313963035,0.09185330562080421,-0.10237397759138614
1990-04,0.021259024877321946,-0.020747227899513113,-0.11175532237487928,0.08244189365319367,-0.04085002840005415,-0.025589185475800795,-0.056639611278280766,0.06271980997382932,-0.04807911290370255,-0.1051888464507042,-0.04135046561820156,-0.026602524789523546,-0.15517604314335043,-0.10097103180372838,-0.08669461360638364,0.21209667070462979,-0.007010687526746713,-0.05889866375029189,-0.0430261125477797,-0.08746267497410971,-0.05881954973390062,-0.04401998851473922,-0.005825306191078301,-0.02107841885189615,-0.13058723575357423,0.04911070732046617,-0.2198118541452605,-0.07267298423524333,-0.009704144802160494,-0.07630410087905592,-0.09852326537914333,0.2558360667556794
1990-05,0.20978843454324786,0.10332980018776172,0.08174217809735237,0.07648933091013226,0.18603881842715236,0.2822642773166698,0.2578341388329116,0.11246406057964668,0.0687743271559775,0.1918869466601963,0.14997173362378916,0.3049693983679126,0.22201137552802466,0.03644225620820903,0.19851168612432454,0.4104643731473525,0.01128411812713925,0.2018955022916744,0.20311534290034083,0.19004944487244266,-0.05881954973390062,0.05820521710474634,-0.20116214837554114,0.025986494726668793,0.060398375580066464,0.0021730409585684596,-0.11378989082216884,0.0824520277628945,0.08465481344512862,0.0475759872620632,0.0842457941179887,0.09696058768728849
1990-06,0.02597554397764295,0.06545294443859573,0.09017581315387786,0.008032292141234664,-0.09698642053465129,-0.029200703618331457,-0.10318709875107245,0.12945131694237397,0.02425580024501772,-0.01704868528829649,-0.02025624607476325,-0.0164205782194355,-0.012783972710812858,-0.019391998940465862,-0.17664635514618,0.09128765970871162,-0.008118987708063975,-0.02863229798889289,-0.03687833251464704,0.09343213911401022,-0.2954513770673698,0.032988640190871006,0.10519311220022072,0.008507158677353271,0.05147570341369148,-0.11586504152203259,-0.024658008065635034,0.038759733631152773,-0.009927980827661302,0.02410252046325797,-0.050072829465669634,-0.03716405879938985
1990-07,-0.1172037667319222,0.02836974563045052,-0.014808020822789258,0.015563630492079853,-0.1408007845900355,0.01900733949429444,-0.17896315633709625,0.11128841139678225,-0.04621715069962023,-0.02146046762765168,0.003464148349550279,-0.0662970631371744,-0.08305137138123816,-0.11193968942269085,-0.061611079683667774,0.08827479782893434,0.07019170555399928,-0.047151922550790294,0.12394947060165658,-0.015434325020682094,-0.032255670927424346,0.03988380557501223,-0.21128549640689195,0.030173225563924586,0.0016336142507464757,-0.1412787611531313,-0.17099014614960545,0.047145734417666264,-0.008094658861904556,0.039847092876099055,0.13720022515825187,-0.1886819731542665
1990-08,-0.040168537919875,-0.03621895991139842,-0.17095113129832884,0.11086414759642267,-0.013629541556213936,-0.2699333058707037,-0.041074276371805316,0.13126881192595793,0.05923789267849487,0.008279417246109144,-0.08190945341245937,-0.16862878979769538,-0.0370280838714317,-0.22939286618487337,-0.2984435506785998,-0.3211830888599798,-0.09646232096391948,-0.18846468893746032,-0.1806800549269296,-0.02847048120285444,-0.20001022325802645,-0.08685712264256532,-0.01147610079571339,-0.05854034499923369,-0.26724135545184635,-0.1650640953219316,-0.24989307464098845,0.006788877427286456,-0.07160284642845971,-0.1398980754438634,-0.0931386842604226,0.12166481965177231
1990-09,0.01148744860121074,-0.24966475968481996,-0.13817665823144362,0.010665265214888135,0.1484241011513739,-0.2657679566542176,0.019029778497714776,0.012614415329294226,-0.03684041287220842,0.01301486036528327,-0.022083342023526555,-0.16300744232856076,-0.01885233349447151,-0.12044699200754488,-0.23483632739070967,-0.0768080170865216,-0.012393524152615234,0.003545419173316479,-0.16976649853886114,-0.0765236042742774,-0.15383707978793992,-0.06349495667166169,0.23460233329026678,-0.018522628353126125,0.04865690998152068,0.14911792133197313,-0.39941285423778794,0.016452378061736286,-0.09433563178656276,0.04245950519799065,-0.011383980340518912,-0.3636057897740798
1990-10,-0.034137206649579914,-0.02315917735842201,0.02090372055724747,0.08807080764804934,-0.30687958532013576,0.21251943709054588,-0.11355864099847175,-0.01699577254174381,-0.08469510718903449,0.010468006773260253,0.08305304873852629,-0.0689368657494286,-0.0616319510672839,-0.027172176692542453,-0.11843335752089348,0.0948074253427399,-0.012062349834858686,0.018691915965682936,-0.06820103255443942,-0.07286311543950888,-0.5050729571137673,0.017137663741005726,0.13416246688372213,0.07097940233482962,-0.06108396419354074,-0.2833217674903526,-0.07621649322635965,0.16275179740745452,-0.018751764439980015,0.087094243698189,-0.10418796817922538,-0.3481650205655189
