Date,GS,MSFT,HD,SHW,CAT,MCD,UNH,AXP,AMGN,TRV,JPM,IBM,HON,BA,AMZN,AAPL,PG,JNJ,MMM,CVX,NVDA,DIS,WMT,MRK,KO,CSCO,NKE,VZ
1999-05,-0.009047877374436013,-0.12758468769304063,-0.15122318330336823,-0.014932542136435167,-0.141853468489868,-0.05627415127222676,-0.052853335612401166,-0.08054426720449383,-0.029414974135436412,0.12156219417192374,-0.06635251825376359,0.07845853451288964,0.0490033972751327,-0.023166849603613388,-0.24337588771882196,-0.05144175353518121,0.0506839115424531,-0.05297015520715723,-0.04801516074082145,-0.07053034345741854,-0.13832299217095737,-0.052780526742174906,-0.16069355514988273,-0.05576218825380446,-0.015493977469737904,-0.1031744008450508,-0.03325303679952981,-0.050001928778343724
1999-06,-0.007799180013760449,0.09296779285885377,0.08487137060120739,-0.07289599337331618,0.05413096311532593,0.07728164093333603,0.02937630194152547,0.003690281191333417,-0.10747551574271265,-0.12063850576106164,0.07482461884265874,0.04342902364648989,0.02543600153641221,0.07167555573904373,0.026177550003768153,0.06803887134566901,-0.023572564534144937,0.06841561849321229,0.018897535169059655,-0.03621107467657686,-0.0408593357614072,0.06222711984302118,0.11641783688914625,0.018244336767671124,-0.06464660154027119,0.10022830665253117,-0.03002541421553324,0.15906185801852932
1999-07,-0.08223721631922724,-0.03172777153333737,0.036054212096264714,0.04439576032435601,-0.03159035192752532,0.10082477914370185,-0.020196723131022998,0.052108576267473054,0.08195754113748879,-0.12506887926430574,-0.05383828809990956,0.011384936324372194,0.052259221144582924,0.06324840230372429,-0.17073584167535732,0.10615350975857818,0.07280957217161867,-0.03372819711745032,-0.010923251368692223,-0.0652305011261872,-0.0606102634803717,-0.09406462285912438,-0.12328500142518858,-0.03895460134498616,-0.019542827662844483,-0.09898286590825722,-0.1348972895377853,0.031912152322650496
1999-08,-0.11581154194162244,-0.018939999417045647,-0.10421567452795817,-0.034532531713962235,-0.08176959020737284,0.0710978345695823,-0.028010525024834487,-0.01889656820111938,0.04786312964217847,-0.036826518878701246,0.11041993290960307,-0.08526028598427231,-0.06368285245307348,0.0062658835944531584,0.0756734693733819,0.152701191862841,0.1015579596450406,0.08816019693299207,0.052268911628943766,0.007275247900824951,0.25023433315961435,-0.0363467088957132,0.010296647082313494,-0.06637898533644908,-0.0041042826136952,-0.05169129687841479,-0.11126444948065992,-0.05164529576274198
1999-09,-0.04446824931087359,-0.023233487176090712,0.04943348081789349,-0.20538209027050622,-0.035528605921909005,0.030687072913075538,-0.21943187104016298,-0.02677683301394308,-0.10251247917475764,-0.1534237274071483,-0.10679004875786316,-0.09997335091993416,-0.03485616611751819,-0.05669786288189842,0.12280618705090343,-0.08503281711616072,-0.010681219173901737,-0.11520013718091773,0.040407331916148696,-0.1044484691649127,-0.3746937109926951,-0.05272342339435553,0.07580517188873365,-0.03742426968342239,-0.1632489329366793,-0.09694222509426273,0.1903061661887287,0.047030396804568816
1999-10,0.20339659644195757,-0.008076455238398724,0.06301322341406469,0.0017898557096901707,-0.05670914889753514,-0.05149480094599097,-0.008488116220908346,0.13540979558549915,-0.039209485882174856,0.12382594276103018,0.11513519135048086,-0.17064588493204202,-0.05430989818514731,0.033932116227403726,-0.048517947495436184,0.1533152323999276,0.09289810532812721,0.07273721335877073,-0.008832627573437078,0.006597929156587789,0.022817323676930512,0.01727173809698235,0.17613004879894598,0.15912014160046903,0.1948242346523086,-0.015277506662964485,-0.03288827572847476,-0.00673842935144125
1999-11,0.05534972386919785,0.04823842154462855,0.03995476501344109,-0.06682303523810691,-0.09139096279905494,0.11362109509335391,-0.04097328217305885,-0.07083097056213,-0.009240445318682825,-0.08385545316549449,-0.15661368069573287,-0.06274733528596217,-0.01282186167833317,-0.0799017145976226,-0.044820078768634884,0.1881642692397591,0.06256431844387321,-0.024838255966801878,0.048584393782547974,0.0049141764861198485,0.31070252064339093,0.06541128696332675,-0.01575451502149015,0.005456328857169243,0.09891390222049455,-0.020139166886207344,-0.16691770719191193,-0.036090929590965166
1999-12,0.19480718770052177,0.2558660015788284,0.20145454560504833,-0.07032740035389115,-0.030379013661664706,-0.10980512799036625,0.041538540491043656,0.06279403679541794,0.05167993522345743,0.08675022705670472,-0.049638601108535935,-0.032341216167393064,-0.11641852170005376,-0.01087157531229074,-0.36267054557450507,-0.036509762172389056,0.024189495819485537,-0.09844994681381368,0.032069390810679575,0.0063344553678751645,0.2558610898483055,0.05373449687741176,0.08561154134614157,-0.15724632199429053,-0.11593550953856968,-0.008509360506910455,0.007210075172826905,-0.0331715108480245
2000-01,-0.01737809684992237,-0.047827002234224,-0.15462138447270982,-0.1938645955120892,-0.15604704101509914,-0.043861322266223704,0.05983301279599013,-0.03010446545923249,-0.3060153012769029,-0.0288857897306947,0.016963703645080347,-0.11017242545270388,-0.17119659933402875,-0.0009336492799173212,-0.14395480482752263,-0.16807015243307782,0.003031664708656353,-0.09676950912540977,-0.08190896439130282,-0.009437458291613873,-0.22877448385210924,0.048688741627572765,-0.15709467164624796,0.0584557171471703,-0.03396212844552258,-0.02464483663713706,0.04474057201082039,-0.003354920690603099
2000-02,-0.060398331774367535,-0.11038306013296217,-0.020272441730671338,-0.0006888212264063953,-0.159954781043331,-0.20681823934222524,-0.07406262521922928,-0.2225438918561665,-0.13241878710300245,-0.2907304745979172,-0.10618309297421034,-0.11066243510591221,-0.04158173522575413,-0.12375714589786191,0.018515015669936997,0.09114746314368645,-0.13774744033041658,-0.14404427919493934,-0.050333874196664345,-0.12378548065471542,0.42136339232572684,-0.07547612042457157,-0.11170880487614117,-0.1829904273687433,-0.10219330033329772,0.0438299554115654,-0.3858851908163045,-0.19818369584413198
