Date,AAF.L,AAL.L,ABF.L,ADM.L,AHT.L,ALW.L,ANTO.L,AUTO.L,AZN.L,BAB.L,BARC.L,BATS.L,BEZ.L,BKG.L,BNZL.L,BTRW.L,CCEP.L,CCH.L,CNA.L,CPG.L,DCC.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRES.L,GAW.L,GSK.L,HIK.L,HLMA.L,HSBA.L,HSX.L,HWDN.L,ICG.L,IHG.L,III.L,IMI.L,INF.L,ITRK.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MNDI.L,MRO.L,NWG.L,NXT.L,PCT.L,PHNX.L,PRU.L,PSH.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SMIN.L,SMT.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,ULVR.L,UTG.L,VOD.L,WEIR.L,WTB.L
2019-06-28,-0.11948047984730112,0.01423403020368812,-0.0048484848484848945,0.016106764841233343,-0.007048458149779763,0.005050505050504989,0.018628096049515118,-0.0021858145847563444,0.009407337723424178,-0.0019603439000639563,-0.0013333129882811942,-0.005066956207021272,0.012855831037649177,0.03638889365120977,-0.017037387600567958,0.010232865063305672,0.0005144347050179009,0.010197144799456149,0.018329488248165222,0.002390438247012047,0.0063073394495412926,-0.0019543973941369224,0.0,0.019393123092651468,0.01663113006396579,0.04334504999925853,0.010086455331412154,-0.006167157982493833,-0.007792207792207788,-0.0032873309249272717,0.0034965034965035603,-0.0059055118110236966,0.0068976085708174735,0.013173652694610773,0.005952380952380993,0.010980966325036668,-0.015232292460015201,0.004963898916967518,0.0,0.010651159117586158,-0.012917115177610279,-0.0009298568170890586,0.015602129951313281,0.001858736059479598,-0.010318295722962575,0.019323671497584467,0.0032918800292611643,0.002855739301744514,0.009588243795384884,0.01118254046313502,0.0031946908675337424,-0.0142704245451302,0.006015060539532425,0.01692482442106552,0.01628659946276915,-0.0014409221902016718,0.02515400410677614,0.012104803759452151,-0.004950495049505011,0.011083488709343264,-0.002247912652536865,-0.0007474554235745194,0.011193064940644443,0.018980727189598454,-0.0026160608430802115,0.004506806054216901,0.012760072409197335,0.0,0.010003226847370122,0.0037842951750236995,0.011563876651982441,0.010355695632598031,0.011041884942513305,0.012448132780082869,0.0,-0.0052654319166978115,0.002047292455727263,0.02256033578174194,0.0034140473675984477,0.012438625204582613,0.008936315966161762
2019-07-01,0.04335043080010552,-0.0011020706884335566,-0.017024726388325962,0.004054054054053939,-0.00786026200873356,0.008739076154806564,0.008499787395073153,-0.0036062028273387034,0.0006187161639598037,-0.011199616252783127,0.004875513895873153,0.03639985512495473,0.005395683453237265,0.0010695188513091048,0.01388888888888888,-0.002764297891640109,-0.002507522644456895,-0.0016750418760469031,0.004308445532435745,-0.00026315789473685213,-0.002828854314002807,0.006485084306095994,0.0,0.01824817585996376,-0.00041562759767252097,0.006249999999999946,0.005673758865248323,-0.005828864620136507,-0.014371257485029912,-0.0027589661270232425,0.008635578583765183,-0.0073891625615763986,0.0027272542317708466,0.011778563015312073,0.0,0.0021536252692031864,0.01777183260080274,0.00400712377560098,0.006190476190476171,-0.023156942409899194,0.016642547033285077,-0.0009263406850214392,0.008845355761431467,0.0022082280418903154,-0.00934742792536668,-0.004716981132075487,0.0072124053371800025,-0.0066037447947376255,0.011647242696015263,0.007882561818004641,0.002710262275312273,-0.0126353790613718,0.011851897063078704,0.005891360678977279,0.0,0.0,-0.010432190760059643,-0.001208313230425172,0.0070367474589523625,-0.0039513677811550685,-0.011549566891241654,0.005000835432087818,-0.015659925389336197,0.006885951663924105,0.0045278228758978915,0.000739143422168555,0.0038043312404466064,-0.000769674812391645,0.008246114811290898,0.01112140871177022,0.0059363194819212475,0.0022055580061755425,-0.009441804606654216,-0.004975124378109493,-0.003399708596405893,0.010921983292471548,-0.007581884350990653,0.0,-0.014329742423887935,0.003819223424570291,0.0047291321553497535
2019-07-02,-0.0016639315309471927,-0.009619620821974224,-0.0028653295128939337,0.0004446420631391313,0.007860262008733613,-0.0036809815950920232,-0.029244675475436667,-0.016064235102346395,0.006006468504543323,0.01519756818767128,-0.0019470602816240579,0.028546099290780235,0.019677996422182428,0.0026546326654394523,-0.0047169811320754125,-0.0027538306126290257,-0.00347228266784782,0.014347681014347661,0.008069953046986251,0.008134347940173196,0.007893994925288934,0.0,0.0,-0.01450560708571578,0.00868127325341047,0.00020743850290298697,0.0,0.0053525430012337175,0.004060089321965021,0.012625004364327147,0.025128498001142197,-0.0014756517461878165,0.004505180792927153,0.002283105022830976,-0.013581742696919964,-0.009259259259259252,0.006730769230769299,0.006167400881057266,-0.0004699248120301118,-0.016550717192376996,0.009544008483563182,0.00229463062875321,0.004017919321507242,0.005498533970383987,0.0027835742638540064,-0.0028355675151640505,0.01429592566118659,-0.007092198581560245,-0.019880127379618733,-0.013874042614652488,-0.00044931770733775756,-0.012727272727272606,-0.01018918456094776,-0.004016654313105985,-0.0008546831987152803,0.014265335235378018,-0.01625812906453222,-0.003362137168600426,0.01134312967259597,0.004744599232788189,0.03664495114006515,-0.013437487288960697,0.019346764339274593,0.00605142173360922,-0.0016192406764605656,-0.011904746899474255,0.0,-0.0019245573518090837,0.0009383797309978219,-0.006363636363636394,-0.009574468085106378,0.01357862461673229,0.012906863586680271,0.003595505617977652,0.020338983050847553,0.0,0.022109016811003523,0.007067137809187221,0.0012440777272710772,-0.013053167780961572,-0.003400669660855237
2019-07-03,-0.012328788025738524,-0.016393383833586926,-0.0012259910093992813,0.017699115044247697,0.007758620689655146,0.012345679012345734,-0.009096842313159657,0.021009998022487784,0.006555877420338528,-0.00021488204732961764,0.009510105617812466,0.018150684931506875,-0.0017559262510975352,0.011612564125408516,0.009389671361502231,0.008965538287984902,-0.006796086876137711,0.006219312602291425,-0.013941077064906528,0.010082730093071313,-0.0013954786491766182,-0.05067350865939709,0.0,0.02857142857142869,0.0037067545304778522,0.008283288570215744,0.0042075736325386005,-0.0015966735839381796,0.0124548011249497,0.009969242232593637,-0.004167824395665463,0.029498525073746354,0.0040370996655386335,0.010807736063708825,0.0015679885806120595,0.0064935064935064315,0.012670196671709535,0.0056423611111111925,-0.004273504273504359,0.011186710723202833,0.0027923211169284066,0.003636377507989984,-0.0007051899324703147,0.0025398464221738776,0.006391413642870451,0.006578918592138702,0.01265377855887515,0.011379844593316672,0.0074668021584987955,0.017269329479568798,0.0022408546595792814,0.00366837857666914,0.005882375380572151,-0.008149204991799027,0.0016996815643749831,0.005625879043600496,0.001764112903225846,0.011012629761805087,0.0066309614894160575,-0.006700000000000072,0.023817135549872095,-0.0029207295027218285,0.013796516845831167,0.007616146348020528,0.011974184672890372,-0.000243664608608165,0.0045441904884190604,-0.001355275895450147,0.010286783042393974,0.002727272727272734,0.0037373198077949124,-0.0077186963979417236,0.016620498614958457,0.012929112795363453,0.016045304388862643,0.005591611918920818,0.008731891248263601,0.011928429423459173,0.018128263903755767,-0.01644630764269582,0.014212935416956785
2019-07-04,-0.009846843458123021,-0.011724893872594006,0.007364975450081869,-0.001744439598778907,-0.004719004719004739,0.0024390243902439462,-0.00763858556690424,-0.0032490754385717238,-0.004238570996064179,-0.006048346161221487,0.006453277985761199,-0.005530417295123206,0.018518518518518472,0.0026434050344754986,-0.006063432835820877,-0.004432280419617245,-0.010700448160121072,-0.028135593220339036,-0.02298599782253244,-0.009956599438345733,-0.007220216606498192,-0.02107409925220943,0.0,-0.006972760978924373,0.0008216926869351016,0.04484536082474225,-0.006983240223463725,0.0004596223549709318,-0.0134387351778657,0.0007327102250551683,0.005293953747561984,-0.01533301389554385,0.0038863611150036586,0.005090497737556549,-0.003910833054106082,0.009352517985611517,-0.001861850679575434,0.005179110919292161,0.002851711026615896,0.0019198170615155011,-0.007284079084287151,-0.004074214220694429,0.005388984012020587,0.0018018018018018138,0.0010308858729767125,0.0037313576237510675,0.0034698126301179657,-0.005152253412251166,0.004688349761481505,0.005835477757826169,0.0031279797462251055,0.004469273743016792,-0.004366745788785034,0.006273525828218549,0.009588264767871172,0.005571030640668542,-0.016032064128256526,0.007608135147448221,-0.006833712984054671,-0.005467247139819875,-0.002649213027894598,-0.007839540187727772,-0.004612755340224348,0.007284586415530733,0.0009566509796972056,-0.008294691259114839,0.004502070079382114,0.0036857419980600224,0.0006174745291756776,0.0018034265103697683,0.003255561584373295,0.0004301075268816445,0.006845563845662633,-0.002624671916010457,-0.009345794392523313,0.003846102761729189,-0.0033471155739319713,-0.004901960784313824,0.00347268180403896,0.017699115044247843,0.001680688122146254
2019-07-05,0.012011635274283752,-0.013840865689490523,-0.006927465362673134,-0.009142359599477675,-0.012505390254420124,0.0036764705882353383,-0.01911112467447916,0.0,-0.00760225026607879,-0.010119181192882505,0.010541196621332615,-0.0008371002846139984,-0.022433132010353664,-0.020263160407062285,-0.0065573770491803495,-0.020463846351286515,0.009823182416719433,-0.010786360473207995,0.008011039135267652,-0.011822153687997992,-0.02320380206877275,-0.008321775312066447,0.0,-0.009074959157278817,-0.026348291477974538,0.012327416173570105,-0.0069541029207232435,0.009864689999440597,-0.014314115308151005,-0.0001222299933154222,-0.023159636062861904,-0.017098192476795337,0.0028333201360503006,-0.015041782729805003,-0.017885172571270373,-0.021352313167259808,-0.007276119402985093,-0.01543739279588329,-0.006635071090047269,0.0033645611053803363,-0.012591815320042042,0.008185552986441396,-0.007436629747228167,-0.00969483736815515,-0.011283977234951727,-0.011111082854094324,-0.025499655410062074,0.01091083025835204,-0.016460906352107722,0.004502115008958761,0.004889208482864857,-0.00037023324694560045,-0.010159717882934972,-0.01065008604015378,-0.014206163010035041,-0.002770083102493134,-0.016875479417028896,-0.00658517928071827,-0.01068158697863683,-0.016142470318683516,0.010118577075098794,-0.0036616623128926454,-0.005605624814518094,0.02445114423408873,-0.015238045087826772,-0.004178912833002072,-0.014195567778988562,0.0011614401858304022,-0.01050355267222735,-0.013477088948787061,-0.02217414818820984,-0.012022327179046709,0.0013627691695767459,-0.00699300699300689,-0.010818438381937833,0.009787125935622254,-0.0017807677087455587,-0.009832841691248675,0.006127574507173771,-0.017380109430318542,0.002100359196101278
2019-07-08,-0.005319866357064472,0.01979262927150927,-0.01272055806319238,-0.003498032356799239,0.005691768826619867,0.007389162561576337,0.007080872978419509,0.0,-0.003560371517027881,0.008202338012255042,-0.0012728930400807228,0.014565544952285384,0.024302430243024288,0.0018832394100818453,-0.009398496240601371,-0.0038381230987076112,0.006796086876137765,-0.0003533568904593979,-0.012525603256019136,0.001820072802912095,-0.011654349061966987,-0.004270462633451999,0.0,-0.06175421077922332,0.018636171113934827,-0.0034280117531831655,-0.0013986013986012748,0.011073432534427935,-0.008413461538461519,-0.0011044229932629151,0.005605381165919275,0.00248880039820814,0.004658814956713106,0.013248847926267257,-0.003786357000208263,0.006554989075018258,-0.012718894009216618,-0.0047993019197206405,-0.012481997119539064,0.004796163069544283,0.0024778761061946776,-0.006300602680973366,-0.005367532772389129,0.0058076446588588545,-0.006883523002538938,0.0,0.009219858156028334,-0.009380863173677926,-0.010851456352528814,-0.00849019492360751,0.004895356196531314,0.00259740259740258,-0.0073313786271787685,0.006753887309024706,0.0065433060499921255,0.0,-0.006047856955035429,-0.0033246114371706737,0.0038659793814433056,0.007236497115888848,-0.004221388367729793,-0.005500549808781098,0.005895342324986657,-0.012171373292542111,0.006666714537377408,0.0017314178287576925,-0.0002659736795628163,0.0019440124416796488,-0.00904836193447744,-0.0027347310847767045,0.00613839285714275,-0.00781250000000011,0.009639217684293162,0.011962782454585723,0.0028929604628736266,-0.010539701886696706,-0.00019755037534580042,-0.015748031496062926,-0.0016418001545009226,0.006287227001985451,0.005035716764424334
2019-07-09,-0.0068493150684931225,-0.007921818671819899,-0.008312551953449718,0.005706760316066604,-0.009190371991247226,0.008641975308642013,-0.014869874505675772,0.005763710620809597,0.006527820951196703,-0.031235941340414346,-0.000255580823266642,-0.020970937912813795,-0.00970017636684314,0.0008075371145263325,0.004748338081671336,0.006636480946818738,0.009377425468559158,-0.01207386363636357,0.01012896996584419,0.007782101167315103,-0.006034482758620681,0.0,0.0,-0.04565491096141232,-0.006237006237006242,-0.025371630907767517,-0.00834492350486789,-0.006028090480566389,-0.02251708886208286,0.011095971864906108,0.010355443604813924,0.0029865604778496033,0.005697987185271746,-0.008474576271186479,0.006394908565273096,-0.012239020878329714,-0.0018639328984155817,-0.009230769230769226,-0.011307767944936153,0.001421815411174389,0.0035855145213338486,-0.01362397839044994,0.00376649281895792,-0.018431535520496305,0.00225461443737879,0.0,-0.002459592410400616,-0.00803781062998672,-0.014980228108831537,-0.031891808676881114,0.013321641700097078,0.002218934911242535,-0.005873737662871052,-0.002505899796127358,-0.007070100928445582,0.018232819074333804,-0.010309278350515464,0.010518825107497291,0.006670087224217539,0.0009374999999999008,0.004537631043655108,-0.006638347163879762,0.0004882365392411423,-0.004950495049505006,-0.008606447737793928,-0.001231830518646211,0.006645401166611915,0.002322880371660805,-0.006006955422067638,0.008264462809917397,-0.014966740576496631,0.0026235242675995696,0.010699571732467451,-0.0043687199650502846,0.005321722302854408,-0.0017092531641672599,-0.0037571682815899466,0.007984031936127787,-0.00208798483633725,-0.01392572944297075,0.001252882983791221
2019-07-10,-0.00758102038073569,0.004665240849023223,-0.003362757461118066,0.006607929515418529,0.006735518634934992,-0.002447980416156716,0.014097744158727055,0.0017844396081986536,0.0051115241635686665,-0.00973795921243835,-0.002295336768409378,0.0006790018672551665,-0.013333333333333279,0.0032197481934425893,0.0,0.0037800897028027426,0.004350069922003392,-0.016949152542372826,-0.002284722133253325,-0.004123711340206171,-0.0037681159420289052,-0.020437956204379562,0.0,-0.006583278737203073,0.0012594458438287086,-0.006689616611857078,0.0,-0.012415349887133166,0.00041305245766218437,0.0037874085617018763,0.0036241984945637254,0.0034791252485089435,-0.004925354914878731,-0.002293577981651382,-0.052256579129384036,0.002915451895043697,0.011425360554410988,0.004450378282154053,-0.012487587300235425,-0.002355712603062486,-0.01004304160688677,0.0,-0.019658305959405407,-0.012481622513458752,-0.00034489493334664015,0.0009442726409844999,-0.0059628200631357976,-0.0038295252098722583,0.0034463464890011055,-0.007278932098891622,-0.0030609604899617835,0.016356877323420047,0.004411809584673713,-0.011567927237587141,-0.01791295945317966,0.0,0.007480630510285918,0.011589462051881431,-0.004600051111679003,0.00538302277432711,0.0012461059190031043,-0.0066727999739341366,0.009523794619009486,0.001990019385494438,-0.0013373309618045824,-0.0004923983284602076,-0.009242143879537593,0.003274268104776581,-0.00095754867539099,0.014532243415077192,-0.005090497737556577,-0.002181500872600427,-0.004071661305242822,-0.0008771929824560665,0.0028929604628736266,0.014114610389041712,-0.0001990842126220116,0.0,-0.0048069655444071815,0.012842176410949653,0.0022973723847863497
2019-07-11,-0.0013869414179943644,-0.012014878564788452,-0.007151872107698803,-0.010048055919615594,-0.002670226969292424,-0.004884004884004974,-0.02066115673529459,-0.013805288129148212,-0.019210081450745358,0.002341920374707235,0.0061154716524098405,-0.010407780242279457,0.0026929982046679374,0.010391687955226792,0.004285714285714346,0.030181085283630227,0.0028299581763767514,-0.006215722120658169,0.005499580243434251,-0.0020666494445879743,0.006962576153176639,0.06461086637298082,0.0,-0.013482426903075908,0.024013722126929687,-0.019121224124852912,-0.011142061281337018,-0.002726061276133974,-0.013087934560327221,-0.010066798202028392,0.0011098779134295403,-0.013688402190144285,-0.003748125937031515,-0.005701254275940714,-0.00020722358526899633,0.002181818181818251,0.00018604651162789892,-0.001322168356104053,-0.005439125146355667,-0.013659958142188162,0.0,0.015711687851986938,-0.005255643036200091,-0.012962962962962976,-0.00687760534608566,-0.014018691588785093,0.002117896223084977,-0.010561675064860828,-0.011158773590339443,0.01606990078432196,0.006573254311309572,-0.005500550055005406,-0.011594247126924818,-0.005192185375578709,-0.004904744998075975,-0.013642564802182835,-0.0023591087811271143,-0.007740999032285661,-0.002300025555839462,-0.012183884509061051,0.012288786482334876,-0.021525396354743636,0.000729719748272706,-0.00867625199047012,-0.016300705943701813,-0.005641447735299434,-0.00823156147975078,-0.004778287461773667,0.002546959567016919,-0.006244424620874272,-0.010227272727272751,0.0017459624618071862,-0.018256164051856264,-0.0109649122807018,-0.00911708253358916,0.013865631200995673,-0.004679410593389015,0.0029354207436399697,-0.0037593984962406217,0.0003333333333332299,-0.006017843480873982
