Date,AAPL,WMT,JPM,PG,JNJ,HD,KO,MRK,CVX,MCD,IBM,AXP,VZ,CAT,AMGN,DIS,HON,NKE,INTC,BA,MMM,TRV
1990-01,-0.07336337163009374,0.024983276137432616,-0.07206992134367089,-0.06667902343410477,-0.09335372083644129,0.027191137854296794,-0.10007649827333788,-0.03884405387115886,-0.0038192370832521483,0.0057473851504335005,0.04086442016359573,-0.09980555070044404,-0.06931229813966883,-0.03461220289413127,0.008131075321115105,-0.05921911688368024,0.03894449116435842,-0.043059399243060334,0.13040457746519982,0.017995378503522293,0.012092682459823036,-0.05141657975477045
1990-02,0.10555912584883653,0.12619000089171833,0.05904663877995488,0.04315892318860475,-0.013769287715205131,0.12428584548498837,0.02171508567523423,-0.033111117437776595,0.03771201349396507,0.03601363958685839,0.052405541787338965,0.008790321784610438,-0.014332849374132062,0.09512152588979003,0.271566915612933,0.056196697275559246,0.09455790041120622,0.1289642835999213,0.10327439748994535,0.08664713625057031,0.0753420606898639,0.15480232550121098
1990-03,0.14950752879412063,0.09092334147160769,-0.0025363514565158725,0.086415256190654,0.006699714775670757,0.14597587133116122,0.05651724678580545,0.02913214039624875,0.005138727611759566,0.0035211533455896133,0.005056834195955045,-0.08553131421149665,0.04000630511892873,0.02682590411881371,0.08825555596114044,0.014695364347654756,0.07927277252800154,0.16554590321763774,0.0793950506815415,0.10723452893592371,0.02957620166495028,0.01654917639286348
1990-04,-0.02074722789951247,0.0498420986120999,-0.06544941667786731,0.05015292551399909,0.013277252454599547,0.014266396671148403,0.024916553836472018,0.059382522250431106,-0.03516213119204665,-0.03976631819972409,0.0014901200655916302,0.009551070046116049,0.010330189864902483,0.012321140966409648,0.06271980997382981,-0.016698024185481008,-0.048079112903702606,0.009028167997623784,-0.05889866375029213,-0.031132751023017616,-0.047920268358627845,-0.03065699542517274
1990-05,0.10332980018776193,0.15852861732438667,0.12607610367703773,0.1567833353051954,0.08798882120564255,0.17434066751499058,0.14504061780750166,0.1414696087734447,0.04562531454857512,0.15340605004490035,0.10003667164885607,0.0354181077535094,0.09976651298306383,0.08094253475804082,0.1124640605796471,0.13226706541360037,0.06877432715597694,0.13208577303700028,0.20189550229167455,0.14292308137454643,0.029584583481919835,0.03471753039785558
1990-06,0.0654529444385963,0.10113100677697705,-0.038371870727217185,0.021715906513144735,0.024735601265436193,-0.07152367120074173,-0.016793809022259288,0.03584202397406638,-0.022980796435881225,0.006958236579284199,-0.04234765109405546,0.04642205124897304,-0.030143861010954856,-0.0878716414659241,0.12945131694237386,-0.0011225195577598416,0.024255800245017528,-0.08086219715959964,-0.028632297988893326,0.002068837139563444,0.012023272531217785,-0.002929139997138334
1990-07,0.028369745630450343,-0.00898494343045346,-0.0961230817365647,0.008749689396750058,0.03791478245098366,-0.04759312573596016,0.022397671377219045,0.028924206564059862,0.12015288741675902,-0.02924594106691932,-0.05923755515479927,-0.08301717302518605,0.04058558592029992,-0.06693888754891968,0.11128841139678197,-0.05859348866804484,-0.046217150699620256,0.11739882446041645,-0.04715192255079047,0.004004281243779048,0.05200034061630471,0.05184497719364015
1990-08,-0.03621895991139891,-0.0827588811319529,-0.05504079650638584,0.00606553848950157,-0.014428461603976971,0.03230719924390238,-0.08096897642943547,0.010812560296142614,-0.01802290260449481,-0.09019840342545356,-0.027074049277195165,-0.011563793488116795,-0.10484196205060602,-0.0709999010835685,0.13126881192595824,-0.0847493252395989,0.05923789267849512,-0.2164186889147074,-0.18846468893746116,-0.13704757597698247,-0.05926276784264673,-0.0942016053763537
1990-09,-0.24966475968481988,-0.035110275106984015,-0.23065766951458316,-0.06326065909439686,0.023533730109467396,-0.07168586038977678,-0.04488341228147606,-0.014275852345749669,-0.008164182543671884,0.014818591331877457,0.03873972631501471,-0.03465295066579258,0.10395424364050529,-0.0057527225571331435,0.012614415329294271,-0.10818329967873021,-0.03684041287220894,-0.045654657073052225,0.003545419173317057,-0.09452361782266797,0.003710493553887956,-0.07063026680357559
1990-10,-0.023159177358421698,-0.04008547852724814,-0.2674998145845975,0.10962122388960871,0.011913222280269885,-0.048156003008813064,0.08614988398612013,-0.016467515093279084,-0.08410056896865208,-0.006000774119973831,-0.02246987965150219,-0.11639811946473837,0.12800511379822474,-0.02183300311243563,-0.016995772541743434,0.004570519739036106,-0.08469510718903416,-0.1387104695891752,0.018691915965682725,0.061629351062518545,-0.0011321047999809026,-0.014738337408055227
1990-11,0.18601340654460083,0.10959317167995979,0.17162140622217578,0.023440527809139203,0.08554361681319995,0.15407757045641388,0.04503466886893671,0.1391133559755155,0.04422651170057991,0.0851932972660251,0.07694871471532735,0.05134460795332254,0.030674354585032284,0.046250983870860164,0.18748910794236046,0.07888099217539442,0.12069699158790849,0.20791158733378995,0.1917740238057594,0.007081442704904881,0.02529573366965996,0.2273371496186955
1990-12,0.2277078066425234,-0.006082743038169982,-0.08146363227502676,0.04653745076327705,0.03583656368660118,0.030145875610280874,0.0027939275116478234,0.04975126442762333,0.03996777122714396,0.013435302518821985,0.005914057852307813,0.05125694482776011,0.008900920251970954,0.1283823820582038,0.03500889341630112,0.04980583502617824,-0.026234345958017564,0.1350237050862003,0.04963825634180409,0.02537348808630253,0.061184454684237215,0.015980770110908833
