Date,AZN,SHEL,RIO,GSK,VOD,ADM,WPP,CNA,MRO
1993-05,-0.07513541117170557,0.0,0.08990124821441427,0.03197486504647065,0.0723938358636375,0.00033212176474247676,0.08628714643752237,-0.050294816658787544,0.02680489799964375
1993-06,-0.08455288544136799,0.0,0.021977111248359896,-0.06061040048946527,0.05790941806925206,-0.0056156290427877,-0.06378794674393964,0.010997734250728407,-0.10703933270048406
1993-07,-0.022228224886817003,0.0,0.05003395606291425,-0.04426953578044554,0.03844234670235469,0.01159805446223376,-0.08204245553643143,-0.04822403539064787,0.07473020050451001
1993-08,0.06042187602371427,0.0,0.04852598885417688,0.017966051569759296,0.13531032984364064,0.05135275019800811,0.05966029220128899,-0.020179318657817,0.11283693932084081
1993-09,-0.0367222607415033,0.0,-0.05578409867323572,-0.06756237179098136,-0.029175315583135363,0.037413150871839135,-0.03102349720481837,0.03912867454441047,0.05424464212948112
1993-10,-0.04119383178069167,0.0,0.0558521093834717,0.018250841805965465,0.09557104668563109,-0.01694628723133732,-0.05268121143377022,-0.035349355407331834,-0.09840224716045222
1993-11,-0.007645885647987153,0.0,0.04422711779419998,-0.03212393273933541,-0.09401183329369828,-0.05407633979226452,-0.042887478011738984,-0.09986838270146149,-0.03595799778737337
1993-12,0.013870991239736723,0.0,0.07375054240934226,-0.0865755817569014,-0.006240409548431987,-0.037093609955746655,-0.08787878787878789,0.01718608545837773,0.036688381094806745
1994-01,-0.023427609807566935,0.0,0.05236098011625631,-0.007532401842075655,0.008800539421498707,0.15702810794662383,0.23871840414460144,0.03135855734595175,0.03473877472409047
1994-02,-0.04851142511167859,0.0,0.03098727358771465,-0.0902412793229809,0.07016939511790589,-0.00018623977412427728,0.21606186961048607,-0.09133719982049182,-0.06756233137738382
1994-03,-0.08615072800661687,0.0,-0.02877676304394529,-0.09121862965063272,-0.08103004286281325,-0.040123786394104265,-0.22159990005242283,-0.06911289100290241,-0.0503683743548905
1994-04,-0.051027776456905746,0.0,0.05314381152589416,0.007153652018189731,-0.07058664640600346,-0.021700779687164592,0.08653752816341204,-0.03446759423902196,0.051119015914699
1994-05,0.028263052527355927,0.0,0.06705417620879885,0.025715880760534382,-0.0023942644988576727,0.0772399690178261,0.013976886154405229,0.04457773315750474,0.007248022987636462
1994-06,0.06940383372865136,0.0,-0.009950664748878386,0.022663524270196495,0.004089967479837547,-0.056531852826499536,-0.08079442637142054,-0.058534191294342404,0.021914741549949067
1994-07,0.003958177366757691,0.0,0.018789812656690153,-0.00697662341049905,0.022416066983325874,0.01562905107381631,-0.036575852780190585,0.01743377007574865,0.014605983273830715
1994-08,0.03240975511001505,0.0,0.0783493231502075,0.06134442528714132,0.10443918442196155,0.04968920963831275,-0.11954380500294735,-0.003905086010967492,-0.0428286037050211
1994-09,0.04370168619390355,0.0,0.04579133252559831,-0.002942374634957747,0.06735022134406113,-0.015906769547075587,-0.09294790248286258,0.05174679352666894,0.08040624914883254
1994-10,0.04402722105991991,0.0,0.008908531544782501,0.017074037139758084,0.05643258158089669,0.09956733004604192,-0.03660463484737777,-0.01987001432978554,0.0556757813026307
1994-11,-0.06843760445077007,0.0,-0.022228863538776567,-0.04390226210418677,-0.022697574058194024,-0.052141609248452,-0.01784624688838132,0.022082688920984694,0.013288045549183124
1994-12,-0.003780881245932794,0.0,0.009383745494852021,-0.006468699792898227,0.15044465287330885,0.1353648891404255,-0.03876390904692791,0.07543885573424809,-0.1231667052905528
1995-01,-0.005930705420612468,0.0,-0.014161572918237556,-0.010502697075948798,0.0714609446054106,0.01894445962793783,-0.008771929824561413,0.040544593309405214,0.015032875339793762
1995-02,0.03327767602635329,0.0,-0.012205799016071306,0.024741486282863226,0.03739153489632831,-0.10190652677684431,-0.11833355352974854,0.09511895601851386,-0.0073921009383623405
1995-03,0.04554740008398252,0.0,0.07070795406800102,0.09099491749081758,0.14771782396910998,-0.038248467242014944,-0.045367975375285315,0.04805428855768441,0.014721723003324775
1995-04,0.008763168160091983,0.0,-0.009957537384142616,0.004865208706092908,-0.011413144486897609,-0.10168577278553483,0.01886792452830188,0.021766483525473,0.08553641462027524
1995-05,0.010794000704235446,0.0,-0.01637612086969506,0.010899231696496562,0.05037938489181953,-0.00040661894238269676,0.08022508231860981,0.08098291525770422,0.08827026584147547
1995-06,0.03683012522244967,0.0,0.00275592317120592,0.05706773602953007,0.24148077253401312,0.03421083967934656,-0.14644278280641918,0.019822966097236095,-0.0002415559168294774
1995-07,0.0014716833318270922,0.0,0.030755551578082428,-0.002015210813253651,0.046147837458973315,0.07157255888202269,0.057154826740080204,0.0470083942667539,0.0521553205468395
1995-08,0.004314037845926417,0.0,-0.04119198219395876,-0.015541629073145699,-0.022553995240096398,-0.016310594825935085,0.25939231340790203,0.08170149364838075,0.03794430441065466
1995-09,0.047969194742359125,0.0,0.035501541451725516,0.04819160693975862,-0.04376900924891762,-0.03842274495610834,-0.05678839565377103,0.12216765450314433,-0.024169143116223465
1995-10,-0.004571681450721018,0.0,-0.010486791294084741,0.10837578968008478,-0.018535208630150513,0.094775335923141,-0.11053598092645167,0.1112622419408529,-0.1371457729055851
1995-11,0.08098660650258444,0.0,0.022857052677720112,0.009299530880664172,-0.2403397400349935,0.02781301161277736,-0.03783462472662162,0.022285048568180702,0.007181871956157966
1995-12,-0.046410632810755935,0.0,0.012606512729399253,0.02831450687309006,-0.05709448129101735,0.05860101246313525,0.047961857704817465,-0.021457095852601596,0.007329862155259756
